ID_ETU1;ID_ETU2;BEST_ETU
8566;3345;8566
7492;6276;7492
489;7163;7163
3162;579;3162
4206;3938;3938
4714;236;236
7549;9579;7549
5123;6385;6385
4811;3334;4811
7871;2568;7871
4791;2950;4791
8979;6494;8979
2724;9996;2724
6430;3656;6430
7130;9640;7130
2614;7013;2614
5625;858;858
9747;4922;4922
3999;9684;3999
6853;6828;6828
7725;429;7725
7008;7743;7743
1849;3280;1849
798;7944;7944
6563;3666;3666
7593;1807;7593
4798;1611;1611
9339;7732;9339
4558;7801;4558
8751;2563;8751
7710;7349;7349
4772;4785;4785
8358;9084;9084
3408;8533;3408
8049;4055;8049
476;3836;476
5668;7318;7318
6492;4253;6492
3403;4468;4468
9787;8655;9787
7796;3206;3206
5569;4514;5569
485;1187;1187
541;2545;2545
2129;1606;1606
231;1192;231
3123;9222;9222
702;4089;702
1224;3800;1224
5802;1315;5802
2563;3590;2563
7287;6882;7287
7910;1006;7910
427;3118;3118
9812;598;598
9456;8910;8910
9744;3357;3357
9874;3811;3811
353;9995;353
943;5253;5253
7832;2011;7832
1731;6245;6245
6146;6697;6146
6934;9747;9747
6918;7180;7180
372;6181;6181
2547;7806;2547
3003;9260;3003
5761;8519;5761
425;5436;425
5460;4579;5460
1054;9170;9170
2420;7916;7916
6643;2626;2626
1119;6759;1119
3731;2327;2327
4005;7897;4005
76;6935;6935
2737;3500;2737
3514;5446;5446
7277;5179;7277
919;906;906
2478;6725;6725
9363;9433;9363
4791;8474;4791
26;3642;3642
3018;9795;9795
5790;9266;9266
2586;4443;2586
9697;2782;2782
1874;842;842
9765;8655;9765
5577;7858;5577
3921;7076;3921
954;3050;3050
729;2710;729
9772;7328;7328
3795;6841;6841
515;3510;3510
4864;6555;6555
7835;6002;7835
4691;7947;4691
4926;1812;1812
2723;6653;6653
2523;5388;2523
4876;4855;4876
6355;7924;7924
4413;3814;3814
3032;2180;2180
4263;9344;9344
9178;8308;9178
7326;6322;7326
6440;9920;9920
8541;3826;8541
866;4773;4773
6400;984;984
8120;8001;8001
6192;1158;6192
7628;5754;7628
3688;2920;2920
4257;7555;4257
3036;2869;3036
3647;7425;3647
3978;3738;3978
8650;2099;8650
3763;9387;3763
2209;6720;6720
7534;2186;7534
8625;8337;8625
833;6023;833
3176;3430;3176
9265;8842;8842
8428;6205;6205
9958;5754;9958
7920;7687;7687
5473;2657;5473
577;523;523
6064;8824;8824
1952;638;638
6501;9160;9160
9540;6579;6579
420;1903;1903
7336;3921;3921
8515;1883;1883
4018;212;212
7879;8863;8863
7131;864;7131
9389;7011;9389
504;8161;8161
7909;2171;2171
2042;5117;2042
5167;4871;5167
9719;7627;9719
6986;8915;6986
9091;1717;1717
9037;309;309
8621;15;15
7008;7026;7026
1725;3970;3970
1656;6657;6657
3122;329;329
4590;4819;4819
6036;9912;6036
4734;150;4734
2637;6088;2637
7144;7136;7144
9554;2438;2438
1666;3751;3751
2468;2422;2468
1867;8467;1867
2204;570;570
9310;511;511
6671;4757;6671
6308;3441;6308
189;6699;189
7092;4971;7092
9559;2397;2397
6286;789;6286
4832;4070;4832
4523;5122;4523
9928;4210;9928
6952;5005;6952
7739;6128;6128
1803;5882;5882
3497;4010;3497
9857;9817;9817
2203;7443;2203
7768;5324;7768
2835;995;995
6480;4199;6480
3896;2803;3896
2061;9463;2061
2126;9066;2126
3302;4237;3302
4534;3406;3406
501;2944;2944
8531;6060;6060
218;5713;5713
2497;8006;8006
7759;629;629
4486;92;92
8805;8484;8805
446;8142;8142
7420;7155;7420
3251;8729;8729
933;2574;933
3901;2705;2705
7113;2009;7113
2062;7886;7886
4881;6383;4881
3313;1956;3313
3880;5959;3880
6041;3602;3602
1971;7211;1971
3636;9107;9107
8656;7480;7480
1374;1784;1784
7223;3250;3250
6085;1820;6085
7907;7656;7907
8388;6398;8388
6922;9162;6922
2900;7979;7979
8925;5799;5799
6909;3836;3836
7539;3536;7539
1043;2587;1043
5704;7121;5704
9433;5637;9433
8020;5284;5284
2174;1581;2174
3747;7281;7281
1944;5932;1944
6755;8057;6755
4199;6858;6858
6152;1962;6152
6410;1897;6410
1470;6095;6095
7864;3511;3511
4623;4718;4623
7498;848;7498
3393;5534;3393
8844;1734;8844
5957;5591;5957
1130;5748;5748
6212;377;6212
4808;2633;4808
7579;9785;9785
4778;1430;1430
3373;5091;5091
6654;8971;6654
529;5670;529
8923;7813;7813
8571;9035;9035
9015;3439;9015
3451;196;196
9344;6300;9344
3821;4692;4692
1639;3325;3325
6680;522;522
2672;5218;2672
4391;9564;4391
1494;470;470
4884;9075;4884
1175;6023;1175
9831;5978;9831
268;2702;2702
8863;2788;8863
7796;1013;1013
8142;3347;8142
7571;2486;2486
1335;8103;1335
4541;3277;4541
684;1792;1792
6920;3583;6920
6476;8960;6476
4542;1531;1531
2313;9261;9261
276;223;223
7280;8887;7280
2890;2033;2033
9828;2728;2728
6059;2802;2802
6557;8703;8703
2714;7499;7499
6032;2222;2222
9679;2667;9679
2431;6254;6254
8943;5246;8943
7937;9312;7937
1179;9344;9344
3346;2614;2614
2314;8502;8502
6188;6843;6843
4303;6984;6984
6553;4518;4518
9046;750;9046
2481;9001;2481
3381;9901;9901
361;9926;361
2887;684;2887
3431;7808;3431
7470;1726;7470
1116;550;550
5619;4276;4276
2949;2956;2949
9424;4993;4993
8619;6596;8619
5071;7904;5071
4409;2732;2732
7965;1901;7965
7646;2120;2120
8324;498;498
9623;2553;2553
7434;645;645
7931;6531;7931
9075;1354;9075
2767;8004;8004
1761;4119;1761
8843;5639;8843
7880;4986;7880
827;7505;827
5134;1625;5134
528;5132;5132
2173;9504;2173
5179;9508;9508
4216;3507;4216
2872;8181;8181
994;2346;2346
164;9152;164
3952;4143;4143
568;1571;1571
7859;6110;6110
6004;4991;6004
980;8935;980
6743;1800;6743
736;3175;3175
732;9316;732
7043;5406;7043
49;3853;49
7740;5766;7740
6585;8582;8582
730;6474;6474
7714;912;7714
6521;9424;9424
4429;5357;4429
6605;4185;4185
9632;1909;1909
864;6096;864
6119;6308;6308
964;8032;8032
7541;942;7541
8162;3990;8162
3056;7472;7472
9787;247;247
2447;7190;2447
6541;4325;6541
8459;8419;8459
5804;7087;5804
6037;1698;1698
1703;4610;4610
3349;3953;3953
7295;9560;9560
7086;9107;9107
3686;3581;3581
5456;8480;5456
259;8509;259
2686;5136;5136
6527;962;962
4281;7937;7937
3576;4361;4361
5176;6342;5176
7584;6557;6557
6868;911;6868
8758;8865;8865
7538;2469;7538
9291;144;9291
4233;6726;4233
29;6422;29
2293;3057;3057
301;7670;301
8409;2866;2866
1319;5326;1319
2358;8552;2358
3753;2579;3753
3251;2940;2940
8840;9421;8840
6151;5701;5701
8945;3379;3379
4101;6193;6193
6244;563;563
1381;2294;2294
2583;2660;2660
6871;1220;1220
2180;4481;4481
4932;4138;4138
8711;7241;7241
1384;1915;1384
8908;742;8908
9260;9948;9260
3214;5920;5920
9812;5647;5647
9387;6839;6839
1474;1831;1831
9037;6180;9037
2337;9229;2337
201;5097;201
4620;6230;4620
8733;4133;8733
1758;8715;1758
8333;7490;7490
5218;3415;3415
9114;7465;9114
8083;1274;1274
7626;2111;2111
8820;2107;8820
1771;1526;1526
2439;4587;4587
1886;8569;8569
5440;7497;5440
2064;5164;2064
2747;5724;2747
3106;4452;3106
9983;2746;2746
3459;4629;3459
8713;2711;8713
7493;9695;9695
5139;8034;5139
7008;176;176
7569;3423;7569
7171;5158;5158
129;5998;129
323;53;53
3572;2156;3572
6506;231;231
9581;1888;1888
3953;2231;2231
9814;7620;9814
1535;3272;3272
2666;6585;2666
8822;2159;8822
2829;7594;2829
8644;3792;8644
1201;9111;1201
6804;8985;6804
7463;6218;6218
7488;1524;1524
9103;2;9103
3233;1077;1077
5026;3221;3221
451;4527;451
101;1736;101
4986;2893;4986
6090;8364;8364
7968;9368;7968
4902;6082;4902
842;3775;3775
4308;8406;8406
467;5802;467
4969;6780;6780
6181;6487;6181
1076;7549;7549
5040;4739;4739
2126;2201;2126
9010;8272;8272
5559;926;926
5428;767;5428
3924;4543;3924
6903;9186;9186
232;5973;5973
4835;4590;4590
3293;2358;2358
8373;9176;8373
7788;5332;7788
6020;5186;5186
9086;2991;2991
1388;8849;8849
3966;6692;3966
3643;3977;3977
4965;2008;2008
9031;4565;9031
159;207;207
9445;7876;7876
3090;6921;3090
865;8225;865
7678;5920;7678
749;7145;7145
5788;310;5788
9396;7746;9396
5032;7215;5032
8779;8711;8779
4167;4111;4167
583;9109;9109
9329;9278;9278
9160;5091;9160
5196;4779;5196
3846;9721;9721
4686;6631;6631
5500;6400;5500
6999;1143;1143
5798;1796;1796
5639;6887;6887
988;1453;1453
7020;747;747
7924;5186;7924
9146;1381;9146
2624;5375;5375
5360;5523;5360
5076;4910;5076
7716;457;457
9809;7681;7681
7951;6282;6282
1987;9660;1987
6991;8654;6991
251;426;426
7456;394;394
4520;6933;4520
9743;5570;5570
7140;5096;5096
1844;130;130
6410;9143;9143
3327;4606;3327
5112;3243;3243
9873;1168;9873
4335;7777;4335
2718;7448;7448
4036;9109;4036
2993;8986;8986
1455;2672;2672
3131;8795;8795
7798;8715;8715
2206;8370;2206
706;6157;706
4482;9277;9277
1390;4659;1390
2548;3771;3771
6898;9888;9888
3247;8487;8487
1650;4957;1650
5157;2247;5157
2723;9848;2723
662;9760;9760
6399;7700;7700
4097;8802;4097
5492;2237;5492
9255;9654;9255
9600;5073;9600
226;4620;226
9699;6788;9699
940;7267;7267
2723;8201;8201
943;4655;4655
6101;8439;6101
5060;6006;5060
4308;8436;8436
7591;5384;7591
3497;35;3497
7374;8722;8722
3503;364;364
8450;2315;2315
2876;229;229
3602;666;666
5324;76;5324
9371;2360;9371
7908;4282;7908
1546;489;1546
3323;5014;3323
9577;4087;9577
185;8338;185
7013;9986;7013
1542;5800;5800
7512;2458;7512
9137;731;731
8238;4765;8238
5502;3151;5502
2130;9775;2130
6766;8146;8146
1557;9350;1557
717;3220;717
6098;6369;6369
3861;5447;3861
9061;9819;9061
5855;5917;5855
5175;3417;5175
7982;4906;7982
2710;1189;2710
2796;7927;2796
6861;8433;8433
3354;2508;2508
2649;1067;2649
8236;1913;8236
4633;7273;7273
6962;312;312
4503;9588;9588
9768;9501;9768
5242;7180;7180
4577;8466;4577
7520;2877;7520
1551;5802;5802
2201;5807;5807
6317;3806;3806
2403;8978;8978
8623;8140;8140
2269;1385;2269
5467;631;631
128;5389;128
5158;3594;5158
7923;513;7923
1898;7710;1898
7967;5175;5175
8774;905;8774
2601;827;827
441;2874;441
1373;8161;1373
4720;4593;4593
663;989;989
9636;3473;9636
9855;5902;5902
414;1114;1114
3123;9121;9121
4322;4903;4322
424;1998;424
8430;5066;8430
1292;4922;4922
6138;312;312
2181;1435;2181
9348;4375;4375
9357;6895;9357
8159;8861;8159
6465;6188;6465
730;5253;5253
823;9395;823
1945;4767;1945
1176;867;1176
393;9641;9641
2483;652;2483
1387;4909;1387
1984;3944;3944
7818;9120;7818
2564;1871;2564
8177;3878;8177
3273;2640;2640
2155;4241;2155
9506;9930;9506
2861;447;2861
839;8547;8547
1157;6535;6535
9228;3608;3608
4520;2002;4520
1004;3495;1004
8599;5455;5455
6999;3783;3783
1623;3065;3065
7634;5613;7634
4395;8674;8674
171;9716;171
4261;4113;4113
2641;8625;8625
7131;8043;7131
5822;7080;7080
8871;3384;3384
3;1738;3
1542;4341;1542
7891;744;744
5762;449;449
6242;8035;6242
4808;648;4808
7794;5063;7794
534;2132;2132
5203;9016;5203
6965;8740;6965
3243;7621;7621
7829;7916;7916
3433;9169;9169
9161;2934;2934
9056;9645;9056
3521;5070;5070
6803;7862;6803
5291;2886;2886
7187;8582;8582
3881;1980;3881
6362;6349;6362
6181;6956;6181
5633;9994;9994
6133;3830;3830
8106;3300;8106
9054;6303;6303
9233;9628;9233
6204;9076;9076
1456;7602;7602
546;6294;546
7654;3682;3682
700;6016;6016
1841;2102;2102
7853;8224;7853
4124;9481;4124
2672;49;2672
995;7565;995
3995;4211;3995
6321;8384;6321
7346;4809;7346
5201;1737;1737
8270;8101;8101
5529;7360;7360
9407;7518;9407
7863;956;956
7073;1091;1091
5128;7531;7531
8586;3784;8586
8719;6434;6434
8427;2651;8427
224;7679;7679
9365;2387;2387
3765;7674;7674
374;7510;7510
9106;268;9106
2118;7894;7894
2530;8869;2530
683;4249;683
4838;1938;1938
3378;7648;3378
6752;7946;6752
4169;5528;4169
9335;3687;3687
3390;7711;3390
2496;8847;8847
4645;7298;7298
184;2412;184
2224;6782;2224
3160;9345;9345
465;7256;7256
5071;4977;5071
3965;212;212
6712;7529;6712
9294;4770;4770
8406;7505;8406
5597;6497;6497
4297;1904;1904
1894;5125;1894
5979;226;5979
6778;8236;8236
5641;3997;3997
2089;6450;2089
297;7432;297
5646;990;990
840;9225;840
5663;5357;5663
2083;7112;7112
2462;2194;2194
7158;8376;8376
81;8488;8488
5931;1370;1370
3324;230;3324
3038;5221;3038
3998;1083;1083
3409;3061;3409
3569;667;3569
5633;9760;9760
8992;4173;8992
3715;418;418
5891;1585;5891
5935;6509;5935
948;6831;948
6790;619;619
1369;1994;1994
8654;3278;3278
5831;1563;1563
462;6511;462
2367;1315;2367
6956;4822;4822
4147;20;4147
7013;6290;6290
6425;2310;6425
1567;8739;1567
4126;299;299
1621;116;116
2135;9728;9728
9600;2101;2101
4502;200;200
9415;9798;9415
5935;308;5935
4138;7594;4138
9163;1018;9163
5125;2527;2527
3831;5186;5186
8;9975;8
50;1507;1507
6835;8610;8610
6243;9866;9866
571;8906;571
5561;2164;5561
2685;3343;3343
5558;948;5558
5505;5138;5138
9126;8454;8454
1484;3446;1484
9872;8228;9872
7751;4085;7751
4176;4653;4653
9650;7696;9650
2262;4128;2262
9451;182;9451
2732;5925;5925
4776;3084;4776
3590;2022;3590
2873;8892;8892
3119;1529;1529
5870;3260;3260
7463;5086;5086
4091;2235;4091
3794;3809;3794
6909;1135;1135
7492;4060;7492
9674;2705;2705
4768;6371;6371
8799;6167;8799
7212;1346;1346
3391;96;96
8727;866;8727
9596;7643;7643
2587;3954;2587
7049;8941;7049
6338;4751;6338
7957;8241;7957
6956;7732;6956
2697;8896;2697
9785;5843;9785
5816;495;495
9065;1879;1879
2514;7535;7535
6163;5272;6163
8718;1495;8718
957;1027;1027
7171;5051;5051
2352;4737;4737
8282;4078;4078
9453;3662;3662
898;6095;6095
586;5174;5174
8756;3456;8756
2703;6177;2703
8585;5668;5668
5917;4138;4138
2675;2072;2072
9046;6161;9046
4610;354;4610
7080;5326;7080
6494;2102;2102
1846;1054;1054
9447;5082;9447
7929;3869;3869
84;4772;4772
4116;1273;4116
4702;7264;7264
8385;2950;8385
2219;284;284
6491;3098;6491
4215;4861;4861
9336;4391;4391
4833;4117;4117
5897;1596;5897
7871;6974;7871
2595;7354;2595
7315;1364;7315
3293;3107;3107
4423;2059;2059
953;4955;4955
6535;997;6535
6479;7489;6479
3337;2237;3337
5695;2215;2215
7138;4951;7138
1533;2063;1533
9738;2759;9738
4268;5861;5861
6809;6775;6775
9462;8299;9462
2436;1399;1399
4185;6271;6271
8173;4866;8173
2333;481;481
78;170;170
2676;1218;2676
9306;3849;3849
7982;3558;7982
8892;669;669
2707;7499;7499
4812;8033;4812
7305;6221;6221
1637;9771;9771
4688;5043;4688
9024;6327;9024
8879;1869;8879
3048;4345;4345
1819;9790;1819
2145;3768;2145
2758;1206;2758
2215;4038;2215
850;1274;1274
4329;1029;1029
9394;7115;7115
621;4384;4384
6210;1098;1098
3563;7099;7099
2408;7080;2408
8297;2004;8297
48;1305;48
5478;7724;7724
557;7312;557
36;6413;6413
7440;1480;1480
2770;2323;2770
9080;5031;5031
5482;1907;1907
2156;649;649
330;879;879
380;2718;380
4262;9698;4262
1560;6121;1560
9012;8582;8582
8522;6878;6878
1260;2939;2939
828;6219;6219
763;1506;1506
5908;4234;5908
4556;8399;8399
9531;1832;9531
2604;1091;2604
7715;5291;7715
6748;9806;6748
5494;4921;5494
9732;2623;2623
7598;2669;2669
2740;5291;2740
5887;454;454
288;3266;288
8939;9001;8939
3946;2640;3946
4675;9195;9195
4566;6576;6576
7706;6455;7706
5735;6364;6364
9131;5010;5010
2359;6586;6586
1771;3317;3317
8708;8395;8708
2877;7147;7147
8903;7022;7022
6451;3287;3287
2340;8693;2340
4170;9236;4170
1039;6397;1039
9363;9823;9823
1085;9431;1085
555;4972;4972
5159;8623;5159
5291;598;598
2934;4350;4350
9239;4851;4851
5685;6834;6834
8624;8770;8624
2278;9580;2278
5071;9789;5071
7404;8299;8299
180;2388;2388
7425;2843;2843
3802;6588;3802
2492;7326;2492
6806;588;588
7763;9856;7763
4160;9393;4160
89;3414;3414
8622;7937;7937
812;6399;6399
9634;2732;9634
5498;3357;5498
3351;9617;3351
5646;3664;3664
2138;7751;7751
5008;4948;4948
428;3212;428
6357;8379;8379
5157;9153;5157
6149;4137;4137
4782;5967;4782
2941;611;611
3755;171;171
1449;7338;7338
4693;5017;5017
7513;4502;4502
6836;8371;8371
6645;6180;6645
7821;578;578
2774;1212;1212
6328;347;347
7733;111;7733
5490;5931;5490
2088;3645;3645
3812;1109;1109
9897;304;304
5009;972;972
5346;8375;5346
7099;7042;7099
504;260;260
6180;1541;6180
2230;9224;2230
6791;8946;6791
7338;4822;4822
5554;2419;2419
1116;4641;4641
2669;4354;2669
1387;9005;9005
5410;88;5410
4081;5597;5597
8056;8520;8520
6946;8079;6946
117;8494;8494
1730;189;1730
1413;9075;9075
2868;482;482
7146;8137;7146
2900;494;494
2618;1934;1934
9195;61;9195
3945;3286;3945
1997;3767;3767
1239;3235;1239
9030;1539;1539
8258;4624;4624
5779;9427;9427
6172;7069;6172
5031;7245;7245
7963;6337;6337
6701;2668;6701
3709;5981;5981
519;357;519
6748;1893;1893
8040;1847;8040
4078;7820;4078
2836;5665;2836
7522;730;7522
1859;3394;3394
7706;6178;7706
5889;3978;3978
5116;9995;5116
4196;5253;5253
3080;2984;2984
8889;7155;7155
2144;777;777
4666;4373;4666
2215;7485;7485
7213;3326;7213
340;6958;340
7563;8420;8420
3544;1940;1940
2526;3721;2526
9419;7902;7902
3658;3746;3658
2711;7909;7909
8418;171;171
7382;2122;2122
1767;6516;1767
6437;2667;6437
6276;170;170
3548;8690;3548
8013;4146;8013
4871;4841;4871
1687;4111;1687
8913;7149;8913
9365;6370;6370
9363;1629;9363
2825;6680;2825
6575;6094;6575
6731;257;6731
9807;9944;9944
9246;2935;2935
6350;51;6350
378;4932;378
1637;885;1637
6911;6156;6156
6039;2271;2271
8661;9705;9705
5017;2366;5017
7345;5326;7345
2391;7009;2391
4038;1257;4038
2520;6460;2520
670;3306;3306
3354;8653;8653
4447;9444;4447
4923;2167;4923
5200;2156;5200
7058;5329;7058
191;6868;191
2720;6284;2720
2242;3421;3421
2908;4012;2908
3424;4979;3424
4358;963;963
3267;500;3267
4446;6032;6032
7087;6940;7087
5465;754;754
3933;3908;3933
9128;6299;6299
4756;1793;1793
6272;9161;6272
4861;15;4861
954;129;129
7991;1927;7991
8059;4671;4671
3727;5383;5383
2077;1416;1416
8194;3290;8194
4530;1002;1002
2828;1363;1363
9890;8861;8861
6675;778;778
4657;3674;4657
5606;7282;5606
7281;6219;6219
2928;2752;2752
6041;5065;5065
9284;3911;9284
2763;926;2763
2607;142;2607
5694;1269;1269
8906;6272;6272
6349;8646;6349
1367;102;1367
9951;8542;9951
6375;7350;6375
1011;9705;1011
2081;7951;7951
2171;4590;2171
2415;637;2415
4180;8472;4180
7656;3927;7656
120;9027;9027
5924;6493;5924
1423;3284;1423
1948;3748;1948
7427;2365;7427
2311;5892;5892
5701;171;171
7367;7967;7967
5176;1079;1079
4945;2719;2719
5191;9587;5191
692;1862;692
734;3443;3443
9428;5452;5452
7463;4765;4765
6813;1471;6813
9405;3839;3839
2711;7644;7644
3058;9765;9765
8223;7185;7185
8992;8777;8992
3232;3651;3232
5122;2487;2487
9893;2517;2517
8824;802;8824
8101;7196;8101
2355;9896;2355
1164;8302;8302
5873;5322;5873
7084;1716;7084
8280;6370;8280
2491;5797;2491
9272;7799;9272
1017;5797;5797
5959;3723;3723
275;9336;275
9060;6953;6953
9811;1135;9811
7908;3847;3847
8003;9683;9683
68;4453;68
2612;9966;9966
4199;8517;8517
2744;3868;3868
6484;638;6484
6747;8881;6747
7400;3937;3937
1700;9298;1700
2362;2060;2362
4103;5312;5312
6489;7914;7914
8839;7989;7989
2283;4399;2283
8346;243;8346
3961;4025;4025
1292;653;653
4586;3545;4586
7125;9278;9278
5344;3314;5344
5446;633;5446
8445;9042;9042
6487;4142;6487
2750;4265;2750
781;6992;781
39;2378;2378
2411;1571;2411
3852;7610;3852
5038;8416;5038
3611;5442;3611
3629;3704;3704
3193;8093;3193
209;6094;209
9539;3966;9539
8588;4400;4400
4453;2124;2124
2331;6465;6465
6159;7956;7956
9763;625;9763
3536;9710;3536
3099;6774;3099
4728;7483;7483
632;3423;632
3328;756;3328
9349;8546;8546
8158;4910;8158
8110;9147;8110
8378;2918;2918
8728;5622;5622
4212;3434;3434
386;1067;386
6895;8947;8947
5282;1603;5282
6418;2096;6418
3670;919;919
5326;3393;3393
793;6859;6859
4531;162;4531
2984;4004;2984
201;5372;201
3290;3472;3472
1197;526;1197
57;4104;57
361;1639;1639
2313;8034;2313
5221;1486;5221
1207;2962;2962
3158;2611;2611
9216;5664;9216
2574;7963;2574
2041;7672;7672
3979;8505;8505
722;5965;5965
1584;8321;8321
8683;2540;8683
6523;4732;6523
3102;5891;5891
7736;3934;7736
1372;2186;2186
6391;2963;2963
7438;202;202
8295;2882;8295
3154;5185;5185
7482;719;7482
3870;8425;8425
9094;7853;7853
5181;3165;5181
9120;5884;9120
6627;1396;6627
8925;3334;3334
7242;3306;7242
4999;1144;1144
1578;4282;1578
5739;8562;8562
6226;1083;1083
4735;219;219
8201;25;8201
3531;755;3531
8424;3601;8424
6997;3482;3482
98;8038;8038
457;2571;2571
2292;5509;5509
4959;410;410
1331;2734;1331
9870;9779;9779
7826;129;129
4836;7593;7593
750;4014;4014
4814;6825;6825
9196;7534;7534
5002;7235;7235
1533;4847;1533
8088;8257;8257
6551;1871;1871
8200;3038;3038
4456;3075;3075
3847;8694;3847
8051;3435;8051
5131;7619;5131
6895;4490;6895
7060;7794;7060
4048;8745;4048
4637;6343;6343
9147;73;73
4186;8750;8750
2717;1406;2717
1601;2243;1601
3859;3069;3069
6078;6463;6463
1302;1717;1302
9458;2410;9458
4515;4319;4515
5046;8085;5046
860;4909;4909
6961;1662;6961
9496;5547;5547
5615;1635;1635
7900;930;930
2025;5734;2025
2007;2164;2164
385;4121;4121
2229;7161;2229
927;4395;4395
3530;7190;3530
1619;4063;4063
7118;1844;7118
